"County FIPS","County","State","Signed Value","Magnitude","Label","Tooltip Detail","Source"
"01001","Autauga County","Alabama","62","62","Autauga County, Alabama","Population density 103 people/sq mi; gap vs county median 62","Public county population and density dataset from balsama/us_counties_data"
"01003","Baldwin County","Alabama","124","124","Baldwin County, Alabama","Population density 165 people/sq mi; gap vs county median 124","Public county population and density dataset from balsama/us_counties_data"
"01005","Barbour County","Alabama","-13","13","Barbour County, Alabama","Population density 28 people/sq mi; gap vs county median -13","Public county population and density dataset from balsama/us_counties_data"
"01007","Bibb County","Alabama","-5","5","Bibb County, Alabama","Population density 36 people/sq mi; gap vs county median -5","Public county population and density dataset from balsama/us_counties_data"
"01009","Blount County","Alabama","52","52","Blount County, Alabama","Population density 93 people/sq mi; gap vs county median 52","Public county population and density dataset from balsama/us_counties_data"
"01011","Bullock County","Alabama","-25","25","Bullock County, Alabama","Population density 16 people/sq mi; gap vs county median -25","Public county population and density dataset from balsama/us_counties_data"
"01013","Butler County","Alabama","-17","17","Butler County, Alabama","Population density 24 people/sq mi; gap vs county median -17","Public county population and density dataset from balsama/us_counties_data"
"01015","Calhoun County","Alabama","151","151","Calhoun County, Alabama","Population density 192 people/sq mi; gap vs county median 151","Public county population and density dataset from balsama/us_counties_data"
"01017","Chambers County","Alabama","16","16","Chambers County, Alabama","Population density 57 people/sq mi; gap vs county median 16","Public county population and density dataset from balsama/us_counties_data"
"01019","Cherokee County","Alabama","6","6","Cherokee County, Alabama","Population density 47 people/sq mi; gap vs county median 6","Public county population and density dataset from balsama/us_counties_data"
"01021","Chilton County","Alabama","27","27","Chilton County, Alabama","Population density 68 people/sq mi; gap vs county median 27","Public county population and density dataset from balsama/us_counties_data"
"01023","Choctaw County","Alabama","-28","28","Choctaw County, Alabama","Population density 13 people/sq mi; gap vs county median -28","Public county population and density dataset from balsama/us_counties_data"
"01025","Clarke County","Alabama","-23","23","Clarke County, Alabama","Population density 18 people/sq mi; gap vs county median -23","Public county population and density dataset from balsama/us_counties_data"
"01027","Clay County","Alabama","-17","17","Clay County, Alabama","Population density 24 people/sq mi; gap vs county median -17","Public county population and density dataset from balsama/us_counties_data"
"01029","Cleburne County","Alabama","-13","13","Cleburne County, Alabama","Population density 28 people/sq mi; gap vs county median -13","Public county population and density dataset from balsama/us_counties_data"
"01031","Coffee County","Alabama","42","42","Coffee County, Alabama","Population density 83 people/sq mi; gap vs county median 42","Public county population and density dataset from balsama/us_counties_data"
"01033","Colbert County","Alabama","58","58","Colbert County, Alabama","Population density 99 people/sq mi; gap vs county median 58","Public county population and density dataset from balsama/us_counties_data"
"01035","Conecuh County","Alabama","-28","28","Conecuh County, Alabama","Population density 13 people/sq mi; gap vs county median -28","Public county population and density dataset from balsama/us_counties_data"
"01037","Coosa County","Alabama","-25","25","Coosa County, Alabama","Population density 16 people/sq mi; gap vs county median -25","Public county population and density dataset from balsama/us_counties_data"
"01039","Covington County","Alabama","-4","4","Covington County, Alabama","Population density 37 people/sq mi; gap vs county median -4","Public county population and density dataset from balsama/us_counties_data"
"01041","Crenshaw County","Alabama","-19","19","Crenshaw County, Alabama","Population density 22 people/sq mi; gap vs county median -19","Public county population and density dataset from balsama/us_counties_data"
"01043","Cullman County","Alabama","85","85","Cullman County, Alabama","Population density 126 people/sq mi; gap vs county median 85","Public county population and density dataset from balsama/us_counties_data"
"01045","Dale County","Alabama","48","48","Dale County, Alabama","Population density 89 people/sq mi; gap vs county median 48","Public county population and density dataset from balsama/us_counties_data"
"01047","Dallas County","Alabama","-5","5","Dallas County, Alabama","Population density 36 people/sq mi; gap vs county median -5","Public county population and density dataset from balsama/us_counties_data"
"01049","DeKalb County","Alabama","53","53","DeKalb County, Alabama","Population density 94 people/sq mi; gap vs county median 53","Public county population and density dataset from balsama/us_counties_data"
"01051","Elmore County","Alabama","106","106","Elmore County, Alabama","Population density 147 people/sq mi; gap vs county median 106","Public county population and density dataset from balsama/us_counties_data"
"01053","Escambia County","Alabama","-2","2","Escambia County, Alabama","Population density 39 people/sq mi; gap vs county median -2","Public county population and density dataset from balsama/us_counties_data"
"01055","Etowah County","Alabama","152","152","Etowah County, Alabama","Population density 193 people/sq mi; gap vs county median 152","Public county population and density dataset from balsama/us_counties_data"
"01057","Fayette County","Alabama","-16","16","Fayette County, Alabama","Population density 25 people/sq mi; gap vs county median -16","Public county population and density dataset from balsama/us_counties_data"
"01059","Franklin County","Alabama","9","9","Franklin County, Alabama","Population density 50 people/sq mi; gap vs county median 9","Public county population and density dataset from balsama/us_counties_data"
"01061","Geneva County","Alabama","6","6","Geneva County, Alabama","Population density 47 people/sq mi; gap vs county median 6","Public county population and density dataset from balsama/us_counties_data"
"01063","Greene County","Alabama","-30","30","Greene County, Alabama","Population density 11 people/sq mi; gap vs county median -30","Public county population and density dataset from balsama/us_counties_data"
"01065","Hale County","Alabama","-17","17","Hale County, Alabama","Population density 24 people/sq mi; gap vs county median -17","Public county population and density dataset from balsama/us_counties_data"
"01067","Henry County","Alabama","-9","9","Henry County, Alabama","Population density 32 people/sq mi; gap vs county median -9","Public county population and density dataset from balsama/us_counties_data"
"01069","Houston County","Alabama","148","148","Houston County, Alabama","Population density 189 people/sq mi; gap vs county median 148","Public county population and density dataset from balsama/us_counties_data"
"01071","Jackson County","Alabama","9","9","Jackson County, Alabama","Population density 50 people/sq mi; gap vs county median 9","Public county population and density dataset from balsama/us_counties_data"
"01073","Jefferson County","Alabama","557","557","Jefferson County, Alabama","Population density 598 people/sq mi; gap vs county median 557","Public county population and density dataset from balsama/us_counties_data"
"01075","Lamar County","Alabama","-19","19","Lamar County, Alabama","Population density 22 people/sq mi; gap vs county median -19","Public county population and density dataset from balsama/us_counties_data"
"01077","Lauderdale County","Alabama","105","105","Lauderdale County, Alabama","Population density 146 people/sq mi; gap vs county median 105","Public county population and density dataset from balsama/us_counties_data"
"01079","Lawrence County","Alabama","8","8","Lawrence County, Alabama","Population density 49 people/sq mi; gap vs county median 8","Public county population and density dataset from balsama/us_counties_data"
"01081","Lee County","Alabama","268","268","Lee County, Alabama","Population density 309 people/sq mi; gap vs county median 268","Public county population and density dataset from balsama/us_counties_data"
"01083","Limestone County","Alabama","172","172","Limestone County, Alabama","Population density 213 people/sq mi; gap vs county median 172","Public county population and density dataset from balsama/us_counties_data"
"01085","Lowndes County","Alabama","-28","28","Lowndes County, Alabama","Population density 13 people/sq mi; gap vs county median -28","Public county population and density dataset from balsama/us_counties_data"
"01087","Macon County","Alabama","-11","11","Macon County, Alabama","Population density 30 people/sq mi; gap vs county median -11","Public county population and density dataset from balsama/us_counties_data"
"01089","Madison County","Alabama","488","488","Madison County, Alabama","Population density 529 people/sq mi; gap vs county median 488","Public county population and density dataset from balsama/us_counties_data"
"01091","Marengo County","Alabama","-22","22","Marengo County, Alabama","Population density 19 people/sq mi; gap vs county median -22","Public county population and density dataset from balsama/us_counties_data"
"01093","Marion County","Alabama","-1","1","Marion County, Alabama","Population density 40 people/sq mi; gap vs county median -1","Public county population and density dataset from balsama/us_counties_data"
"01095","Marshall County","Alabama","140","140","Marshall County, Alabama","Population density 181 people/sq mi; gap vs county median 140","Public county population and density dataset from balsama/us_counties_data"
"01097","Mobile County","Alabama","295","295","Mobile County, Alabama","Population density 336 people/sq mi; gap vs county median 295","Public county population and density dataset from balsama/us_counties_data"
"01099","Monroe County","Alabama","-22","22","Monroe County, Alabama","Population density 19 people/sq mi; gap vs county median -22","Public county population and density dataset from balsama/us_counties_data"
"01101","Montgomery County","Alabama","247","247","Montgomery County, Alabama","Population density 288 people/sq mi; gap vs county median 247","Public county population and density dataset from balsama/us_counties_data"
