"County FIPS","County","State","Signed Value","Magnitude","Label","Tooltip Detail","Source"
"01001","Autauga County","AL","0.3","0.3","Autauga County, AL","2016 unemployment 5.3%; gap vs county median 0.3 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01003","Baldwin County","AL","0.4","0.4","Baldwin County, AL","2016 unemployment 5.4%; gap vs county median 0.4 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01005","Barbour County","AL","3.6","3.6","Barbour County, AL","2016 unemployment 8.6%; gap vs county median 3.6 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01007","Bibb County","AL","1.6","1.6","Bibb County, AL","2016 unemployment 6.6%; gap vs county median 1.6 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01009","Blount County","AL","0.5","0.5","Blount County, AL","2016 unemployment 5.5%; gap vs county median 0.5 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01011","Bullock County","AL","2.2","2.2","Bullock County, AL","2016 unemployment 7.2%; gap vs county median 2.2 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01013","Butler County","AL","2.1","2.1","Butler County, AL","2016 unemployment 7.1%; gap vs county median 2.1 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01015","Calhoun County","AL","1.7","1.7","Calhoun County, AL","2016 unemployment 6.7%; gap vs county median 1.7 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01017","Chambers County","AL","0.5","0.5","Chambers County, AL","2016 unemployment 5.5%; gap vs county median 0.5 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01019","Cherokee County","AL","0.2","0.2","Cherokee County, AL","2016 unemployment 5.2%; gap vs county median 0.2 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01021","Chilton County","AL","0.6","0.6","Chilton County, AL","2016 unemployment 5.6%; gap vs county median 0.6 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01023","Choctaw County","AL","3.9","3.9","Choctaw County, AL","2016 unemployment 8.9%; gap vs county median 3.9 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01025","Clarke County","AL","6.1","6.1","Clarke County, AL","2016 unemployment 11.1%; gap vs county median 6.1 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01027","Clay County","AL","1.2","1.2","Clay County, AL","2016 unemployment 6.2%; gap vs county median 1.2 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01029","Cleburne County","AL","1.1","1.1","Cleburne County, AL","2016 unemployment 6.1%; gap vs county median 1.1 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01031","Coffee County","AL","1.1","1.1","Coffee County, AL","2016 unemployment 6.1%; gap vs county median 1.1 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01033","Colbert County","AL","2","2","Colbert County, AL","2016 unemployment 7%; gap vs county median 2 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01035","Conecuh County","AL","3.6","3.6","Conecuh County, AL","2016 unemployment 8.6%; gap vs county median 3.6 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
"01037","Coosa County","AL","1.1","1.1","Coosa County, AL","2016 unemployment 6.1%; gap vs county median 1.1 percentage points","BLS LAUS 2016 via Plotly public sample dataset"
